TaxonName_org,TaxonTSN_org,TaxonName_nsOnly,TaxonTSN_nsOnly,TaxonNotes_nsOnly,TaxonName_nsOnly_intres,TaxonTSN_nsOnly_intres,TaxonName_nsNint_maxres,TaxonTSN_nsNint_maxres,TaxonName_nsNint_intres,TaxonTSN_nsNint_intres,SpecSSPGroup,Phylum/Division,CommonName,Synonyms,Citation,DataEntryStatus,DataEntryNotes
Epilabidocera amphitrites,86040,Pontellidae,86038,"All species in this family are small and pelagic, and lumping to family adds lots of links.",,drop,Pontellidae,86038,,drop,copepod,Arthropoda,copepod,Epilabidocera longipedata,Marine Planktonic Copepods website (http://copepodes.obs-banyuls.fr/en/),done,"No prey data, a little species-specific predator data and more for the genus"
Epitonium atwoodi,no TSN,,dropped,Insufficient data for the genus and family.,,dropped,,dropped,,dropped,snail,Mollusca,gastropod,,OBISGBIF,done,Two prey entries for a congener; no predator data available for this genus
Erilepis zonifer,167125,,dropped,"No data for this species, genus, or synonyms. A genus within the family is already on the list.",,dropped,,dropped,,dropped,fish,Chordata,skilfish,"Ebisus sagamius, Erilepsis zonifera, Myriolepis zonifer",OBISGBIF,done,No data available
Erimacrus isenbeckii,98665,Erimacrus isenbeckii,98665,All data is species-specific.,Erimacrus isenbeckii,98665,Erimacrus isenbeckii,98665,Erimacrus isenbeckii,98665,crab,Arthropoda,crab,Platycorystes isenbeckii,OBISGBIF,done,A little species-specific prey data and some predator data
Eschrichtius robustus,180521,Eschrichtius robustus,180521,Great data for this species.,Eschrichtius robustus,180521,Eschrichtius robustus,180521,Eschrichtius robustus,180521,mammal,Chordata,whale,"Agaphelus glaucus, Balaena boops, Balaena gibbosa, Balaenoptera robusta, Eschrichtius gibbosus, Eschrichtius glaucus, Rhachianectes glaucus",OBISGBIF,done,Good prey data; probably few gray whale predators
Eteone barbata,573727,Phyllodocidae,65228,,Phyllodocidae,65228,Phyllodocidae,65228,Phyllodocidae,65228,worm,Annelida,polychaete,"Eteone striata, Mysta barbata",OBISGBIF,done,"No species-specific prey data, but some prey and predator data for congeners"
Eteone longa,65263,Phyllodocidae,65228,,Phyllodocidae,65228,Phyllodocidae,65228,Phyllodocidae,65228,worm,Annelida,polychaete,"Eteone arctica, Eteone islandica, Eteone leuckarti, Eteone lilljeborgi, Eteone robusta, Eteone villosa, Nereis longa",OBISGBIF,done,A little species-specific prey data and some predator data; and some additional prey data for a congener and predator data for this genus
Eucalanus bungii,85302,Eucalanus,85300,Lumping to genus adds some prey data.,,drop,Eucalanus,85300,,drop,copepod,Arthropoda,copepod,,OBISGBIF,done,Fair prey data for this species and several congeners; good predator data
Euchone analis,68092,Sabellidae,68076,,Sabellidae,68076,Sabellidae,68076,Sabellidae,68076,worm,Annelida,polychaete,"Euchone rubella, Sabella analis",OBISGBIF,done,No species-specific prey or predator data available; one prey item and a few predators listed for congeners
Euchone arenae,68099,Sabellidae,68076,,Sabellidae,68076,Sabellidae,68076,Sabellidae,68076,worm,Annelida,polychaete,Euchone cortezi,OBISGBIF,done,No species-specific prey or predator data available; one prey item and a few predators listed for congeners
